date,ticker,name,close,sma5,sma20,sma60,volume,volume_ma20,volume_ratio,next_close,ret_1d,ret_2d,ret_3d,ret_5d,hit_3pct_1d,hit_3pct_2d,hit_3pct_3d,hit_3pct_5d,prev_prev_day_change_pct,prev_day_change_pct,day_change_pct,rsi,recent_high,volume_change_pct,open_price,high_price,low_price,hh20,vol_today_vs_yday_pct,is_pullback,is_breakout,long_upper_wick,is_high_zone,big_bearish_yesterday,weekly_sma20_ok,first_sma20_touch,sma20_touch_count,trend_start_days_ago,day_of_week,atr_pct,cum_ret_1d,cum_ret_2d,cum_ret_3d,ret_4d,cum_ret_4d,hit_3pct_4d,cum_ret_5d,days_to_target,pos_within_3d,pos_within_5d,max_ret_3d,max_ret_5d
2026-01-21,2587,サントリー食品インターナショナル,5023.0,4976.2,4815.2,4787.8,773000,535385.0,1.44,5014.0,-0.179,-0.698,0.462,-1.945,0,0,0,0.0,2.55,0.66,-0.73,70.9,,-42.4,5085.0,5087.0,4995.0,5087.0,38.5,False,False,False,True,False,False,False,0,2,2,,-0.179,-0.876,-0.418,-1.299,-1.712,0,-3.623,,1,1.0,1.214,1.214
2026-01-21,2579,コカ・コーラ　ボトラーズジャパンホールディングス,3444.0,3395.4,3260.6,2905.1,624800,916485.0,0.68,3406.0,-1.103,-1.321,0.893,-0.769,0,0,0,0.0,4.57,-0.64,0.23,74.4,,10.6,3450.0,3465.0,3419.0,3465.0,-40.7,False,False,False,True,False,False,False,0,19,2,,-1.103,-2.41,-1.539,-0.236,-1.771,0,-2.526,,1,1.0,0.581,0.581
2026-01-21,2667,イメージ　ワン,328.0,286.2,219.9,195.8,14191300,1633000.0,8.69,303.0,-7.622,-6.601,5.3,1.384,0,0,0,0.0,-3.75,-4.96,22.39,79.7,,-51.5,272.0,348.0,262.0,348.0,2731.5,False,False,False,False,False,False,False,0,4,2,,-7.622,-13.72,-9.146,-3.02,-11.89,0,-10.671,,1,1.0,1.22,1.22
2026-01-21,2694,焼肉坂井ホールディングス,71.5,71.9,70.7,70.0,919600,893815.0,1.03,71.5,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,-1.37,0.0,56.3,,-24.8,71.5,72.5,71.5,72.5,0.4,True,False,True,True,True,False,True,1,10,2,,0.0,0.0,0.0,0.0,0.0,0,0.0,,1,1.0,1.389,1.389
2026-01-21,2768,双日,5776.2,5899.2,5228.6,4679.5,2350600,2419315.0,0.97,5732.7,-0.752,-1.929,-2.476,-1.297,0,0,0,0.0,-0.33,-1.99,-1.0,75.3,,-15.6,5716.0,5834.4,5667.6,6177.0,-9.2,True,False,False,False,False,False,False,2,19,2,,-0.752,-2.666,-5.076,2.755,-2.461,0,-3.726,,1,1.0,1.709,1.709
2026-01-21,2776,新都ホールディングス,129.0,132.6,123.7,122.4,604300,471980.0,1.28,130.0,0.775,1.538,0.758,0.0,1,1,1,1.0,0.0,0.74,-5.15,54.6,,85.4,132.0,134.0,129.0,141.0,-39.9,True,False,False,False,False,False,False,0,1,2,,0.775,2.326,3.101,-2.256,0.775,1,0.775,1.0,1,1.0,5.426,5.426
2026-01-21,2897,日清食品ホールディングス,3026.0,3006.7,2907.1,2834.9,1631800,1247880.0,1.31,3071.4,1.502,-0.45,-0.097,-1.582,0,0,0,0.0,2.86,3.37,-3.19,62.8,,17.3,3083.3,3084.3,3007.2,3127.8,-35.9,False,False,False,False,False,False,False,1,4,2,,1.502,1.045,0.947,0.226,1.176,0,-0.425,,1,1.0,2.351,2.351
2026-01-21,2914,日本たばこ産業,5742.0,5795.2,5705.3,5535.5,3971600,4481700.0,0.89,5681.0,-1.062,-0.581,-1.115,-1.13,0,0,0,0.0,-0.29,0.66,-1.36,55.2,,35.1,5802.0,5805.0,5737.0,5868.0,-0.3,True,False,False,True,False,False,False,2,7,2,,-1.062,-1.637,-2.734,-0.197,-2.926,0,-4.023,,1,1.0,0.122,0.122
2026-01-21,3003,ヒューリック,1771.5,1820.3,1760.5,1668.2,2920900,2188890.0,1.33,1787.0,0.875,-0.727,0.197,-1.192,0,0,0,0.0,0.88,-1.17,-2.83,54.6,,-21.6,1798.0,1803.0,1767.0,1863.0,37.4,True,False,False,False,False,False,False,3,19,2,,0.875,0.141,0.339,-0.872,-0.536,0,-1.722,,1,1.0,1.185,1.185
2026-01-21,3086,Ｊ．フロント　リテイリング,2287.2,2277.6,2226.8,2226.0,1225500,1242345.0,0.99,2284.3,-0.13,0.022,0.0,-2.247,0,0,0,0.0,-0.56,0.9,0.09,64.9,,47.7,2280.3,2295.6,2261.5,2311.5,3.8,False,False,False,True,False,False,False,0,0,2,,-0.13,-0.108,-0.108,-0.715,-0.822,0,-3.051,,1,1.0,1.017,1.017
